^1 = HASH: 43598BF3
^3 = NAME: Odin Sphere
^2 = GameID: SLUS_215.77
!Masters:
+Enable Code (Must Be On) [Read Note]
%Credits: Skiller
$9010B998 0C042E0E
!!
!Codes:
+Infinite HP
%Credits: Skiller
$200A0000 AC8300EC
$200A0004 8CE3046C
$200A0008 ACE30468
$200A000C 0806B575
$200A0010 8CE3046C
$201AD5CC 08028000
$201AD5D0 00000000
+Infinite POW
%Credits: Skiller
$200A0018 20020064
$200A001C C4E007D0
$200A0020 E4E007CC
$200A0024 AC8200F4
$200A0028 0806B583
$200A002C 84E60470
$201AD604 08028006
$201AD608 00000000
+Infinite Ammo
%Credits: Skiller
$20302B1C 00000000
+Always Low Mission Timer
%Credits: Skiller
$20200CD4 AE000078
+Max Psypher (Level 99){With This Code, Do Not Use It In The Prologue.}
%Credits: Skiller
$2018A074 AE24047C
+Shops Sell Everything
%Credits: Skiller
$200A0050 3C05003C
$200A0054 34A5FE80
$200A0058 8CB600E4
$200A005C 201700E4
$200A0060 12D70008
$200A0064 20170000
$200A0068 3C16003C
$200A006C 36D6FE7C
$200A0070 22D60004
$200A0074 22F70001
$200A0078 200B00E4
$200A007C 16EBFFFC
$200A0080 AED70000
$200A0084 AC850340
$200A0088 080B8C33
$200A008C 201000E4
$202E30C8 08028014
$202E30CC 00000000
!!
!Quick Max Coin Codes:
+Version 1 (Need At Least 1 Coin)
%Credits: Skiller
$200A0034 200503E7
$200A0038 0807EE39
$200A003C A4850800
$201FB8E0 0802800D
+Version 2 (Need At Least 1 Coin)
%Credits: Skiller
$201FB8B0 94820802
$201FB8B4 A4820800
$201FB8B8 03E00008
$201FB8BC 94820800
!!
