^1 = HASH: EA79D106
^3 = NAME: Barbie Horse Adventures
^2 = GameID: SLUS_218.06
!Masters:
+Enable Code (Must Be On)
%Credits: Code Master>tab
$F0100008 002FB60F
!!
!Codes:
+Coins Worth Modifier (Adventure Mode)
%Credits: Code Master>tab
$101E81E8 000000??
+Pickup 1 Coin For Max Coins
%Credits: Code Master>tab
$201E81E8 240200C8
+Always Max Friendlyness
%Credits: Code Master>tab
$200C0220 3C013F80
$200C0224 AE01001C
$200C0228 AE010020
$200C022C 03E00008
$200C0230 C610001C
$201B0C98 0C030088
+Have Silver Key
%Credits: Code Master>tab
$20380350 00000001
+Infinite Time (Clock Game)
%Credits: Code Master>tab
$2019B5F4 00000000
+Stop Timer (Mini-Games)
%Credits: Code Master>tab
$201F9614 00000000
+Coins Worth Modifier (Mini-Games Mode)
%Credits: Code Master>tab
$201E8370 244200??
!!
!Unlock Hat Codes:
+Hat 1
%Credits: Code Master>tab
$2038010C 00000001
+Hat 2
%Credits: Code Master>tab
$20380110 00000001
+Hat 3
%Credits: Code Master>tab
$20380114 00000001
+Hat 4
%Credits: Code Master>tab
$20380118 00000001
+Hat 5
%Credits: Code Master>tab
$2038011C 00000001
+Hat 6
%Credits: Code Master>tab
$20380120 00000001
+Hat 7
%Credits: Code Master>tab
$20380124 00000001
+Hat 8
%Credits: Code Master>tab
$20380128 00000001
+Hat 9
%Credits: Code Master>tab
$2038012C 00000001
+Hat 10
%Credits: Code Master>tab
$20380130 00000001
+Hat 11
%Credits: Code Master>tab
$20380134 00000001
+Hat 12
%Credits: Code Master>tab
$20380138 00000001
+Hat 13
%Credits: Code Master>tab
$2038013C 00000001
+Hat 14
%Credits: Code Master>tab
$20380140 00000001
+Hat 15
%Credits: Code Master>tab
$20380144 00000001
+Hat 16
%Credits: Code Master>tab
$20380148 00000001
+All Hats
%Credits: Code Master>tab
$4038010C 00100001
$00000001 00000000
!!
!Unlock Top Codes:
+Top 1
%Credits: Code Master>tab
$2038014C 00000001
+Top 2
%Credits: Code Master>tab
$20380150 00000001
+Top 3
%Credits: Code Master>tab
$20380154 00000001
+Top 4
%Credits: Code Master>tab
$20380158 00000001
+Top 5
%Credits: Code Master>tab
$2038015C 00000001
+Top 6
%Credits: Code Master>tab
$20380160 00000001
+Top 7
%Credits: Code Master>tab
$20380164 00000001
+Top 8
%Credits: Code Master>tab
$20380168 00000001
+Top 9
%Credits: Code Master>tab
$2038016C 00000001
+Top 10
%Credits: Code Master>tab
$20380170 00000001
+Top 11
%Credits: Code Master>tab
$20380174 00000001
+Top 12
%Credits: Code Master>tab
$20380178 00000001
+Top 13
%Credits: Code Master>tab
$2038017C 00000001
+Top 14
%Credits: Code Master>tab
$20380180 00000001
+Top 15
%Credits: Code Master>tab
$20380184 00000001
+Top 16
%Credits: Code Master>tab
$20380188 00000001
+Top 17
%Credits: Code Master>tab
$2038018C 00000001
+Top 18
%Credits: Code Master>tab
$20380190 00000001
+Top 19
%Credits: Code Master>tab
$20380194 00000001
+Top 20
