^3 = NAME: Moto GP 4 (Ntsc-U)
^2 = GameID: SLUS-21159
!Master Codes:
+(M)
%Credits: Codejunkies
$F010044C 0010044F
+Enable Code (Must Be On)
%Credits: Code Master
$902A7700 00832021
!!
+AR Max < 3.14 Fix
%Credits: Codejunkies
$202B63F8 3C03200F
$202B6400 8C65FFF8
$202B6404 24040079
$202B6408 24030074
$202B640C 0000000C
!Challenge Codes:
+Always Low Qualification Time
%Credits: Code Master
$20204CC8 AE0000B0
+Always Low Race Time
%Credits: Code Master
$20214160 AE2000B0
!!
!Have Challenge Completed Codes:
+All Challenges
%Credits: Code Master
$005A99E5 00000002
$105A99E6 00000202
$405A99E8 001A0001
$02020202 00000000
$105A9A50 00000202
+Challenge 1
%Credits: Code Master
$005A99E5 00000002
+Challenge 2
%Credits: Code Master
$005A99E6 00000002
+Challenge 3
%Credits: Code Master
$005A99E7 00000002
+Challenge 4
%Credits: Code Master
$005A99E8 00000002
+Challenge 5
%Credits: Code Master
$005A99E9 00000002
+Challenge 6
%Credits: Code Master
$005A99EA 00000002
+Challenge 7
%Credits: Code Master
$005A99EB 00000002
+Challenge 8
%Credits: Code Master
$005A99EC 00000002
+Challenge 9
%Credits: Code Master
$005A99ED 00000002
+Challenge 10
%Credits: Code Master
$005A99EE 00000002
+Challenge 11
%Credits: Code Master
$005A99EF 00000002
+Challenge 12
%Credits: Code Master
$005A99F0 00000002
+Challenge 13
%Credits: Code Master
$005A99F1 00000002
+Challenge 14
%Credits: Code Master
$005A99F2 00000002
+Challenge 15
%Credits: Code Master
$005A99F3 00000002
+Challenge 16
%Credits: Code Master
$005A99F4 00000002
+Challenge 17
%Credits: Code Master
$005A99F5 00000002
+Challenge 18
%Credits: Code Master
$005A99F6 00000002
+Challenge 19
%Credits: Code Master
$005A99F7 00000002
+Challenge 20
%Credits: Code Master
$005A99F8 00000002
+Challenge 21
%Credits: Code Master
$005A99F9 00000002
+Challenge 22
%Credits: Code Master
$005A99FA 00000002
+Challenge 23
%Credits: Code Master
$005A99FB 00000002
+Challenge 24
%Credits: Code Master
$005A99FC 00000002
+Challenge 25
%Credits: Code Master
$005A99FD 00000002
+Challenge 26
%Credits: Code Master
$005A99FE 00000002
+Challenge 27
%Credits: Code Master
$005A99FF 00000002
+Challenge 28
%Credits: Code Master
$005A9A00 00000002
+Challenge 29
%Credits: Code Master
$005A9A01 00000002
+Challenge 30
%Credits: Code Master
$005A9A02 00000002
+Challenge 31
%Credits: Code Master
$005A9A03 00000002
+Challenge 32
%Credits: Code Master
$005A9A04 00000002
+Challenge 33
%Credits: Code Master
$005A9A05 00000002
+Challenge 34
%Credits: Code Master
$005A9A06 00000002
+Challenge 35
%Credits: Code Master
$005A9A07 00000002
+Challenge 36
%Credits: Code Master
$005A9A08 00000002
+Challenge 37
%Credits: Code Master
$005A9A09 00000002
+Challenge 38
%Credits: Code Master
$005A9A0A 00000002
+Challenge 39
%Credits: Code Master
$005A9A0B 00000002
+Challenge 40
%Credits: Code Master
$005A9A0C 00000002
+Challenge 41
%Credits: Code Master
$005A9A0D 00000002
+Challenge 42
%Credits: Code Master
$005A9A0E 00000002
+Challenge 43
%Credits: Code Master
$005A9A0F 00000002
+Challenge 44
%Credits: Code Master
$005A9A10 00000002
+Challenge 45
%Credits: Code Master
$005A9A11 00000002
+Challenge 46
%Credits: Code Master
$005A9A12 00000002
+Challenge 47
%Credits: Code Master
$005A9A13 00000002
+Challenge 48
%Credits: Code Master
$005A9A14 00000002
+Challenge 49
%Credits: Code Master
$005A9A15 00000002
+Challenge 50
%Credits: Code Master
$005A9A16 00000002
+Challenge 51
%Credits: Code Master
$005A9A17 00000002
+Challenge 52
%Credits: Code Master
$005A9A18 00000002
+Challenge 53
%Credits: Code Master
$005A9A19 00000002
+Challenge 54
%Credits: Code Master
$005A9A1A 00000002
+Challenge 55
%Credits: Code Master
$005A9A1B 00000002
+Challenge 56
%Credits: Code Master
$005A9A1C 00000002
+Challenge 57
%Credits: Code Master
$005A9A1D 00000002
+Challenge 58
%Credits: Code Master
$005A9A1E 00000002
+Challenge 59
%Credits: Code Master
$005A9A1F 00000002
+Challenge 60
%Credits: Code Master
$005A9A20 00000002
+Challenge 61
%Credits: Code Master
$005A9A21 00000002
+Challenge 62
%Credits: Code Master
$005A9A22 00000002
+Challenge 63
%Credits: Code Master
$005A9A23 00000002
+Challenge 64
%Credits: Code Master
$005A9A24 00000002
+Challenge 65
%Credits: Code Master
$005A9A25 00000002
+Challenge 66
%Credits: Code Master
$005A9A26 00000002
+Challenge 67
%Credits: Code Master
$005A9A27 00000002
+Challenge 68
%Credits: Code Master
$005A9A28 00000002
+Challenge 69
%Credits: Code Master
$005A9A29 00000002
+Challenge 70
%Credits: Code Master
$005A9A2A 00000002
+Challenge 71
%Credits: Code Master
$005A9A2B 00000002
+Challenge 72
%Credits: Code Master
$005A9A2C 00000002
+Challenge 73
%Credits: Code Master
$005A9A2D 00000002
+Challenge 74
%Credits: Code Master
$005A9A2E 00000002
+Challenge 75
%Credits: Code Master
$005A9A2F 00000002
+Challenge 76
%Credits: Code Master
$005A9A30 00000002
+Challenge 77
%Credits: Code Master
$005A9A31 00000002
+Challenge 78
%Credits: Code Master
$005A9A32 00000002
+Challenge 79
%Credits: Code Master
$005A9A33 00000002
+Challenge 80
%Credits: Code Master
$005A9A34 00000002
+Challenge 81
%Credits: Code Master
$005A9A35 00000002
+Challenge 82
%Credits: Code Master
$005A9A36 00000002
+Challenge 83
%Credits: Code Master
$005A9A37 00000002
+Challenge 84
%Credits: Code Master
$005A9A38 00000002
+Challenge 85
%Credits: Code Master
$005A9A39 00000002
+Challenge 86
%Credits: Code Master
$005A9A3A 00000002
+Challenge 87
%Credits: Code Master
$005A9A3B 00000002
+Challenge 88
%Credits: Code Master
$005A9A3C 00000002
+Challenge 89
%Credits: Code Master
$005A9A3D 00000002
+Challenge 90
%Credits: Code Master
$005A9A3E 00000002
+Challenge 91
%Credits: Code Master
$005A9A3F 00000002
+Challenge 92
%Credits: Code Master
$005A9A40 00000002
+Challenge 93
%Credits: Code Master
$005A9A41 00000002
+Challenge 94
%Credits: Code Master
$005A9A42 00000002
+Challenge 95
%Credits: Code Master
$005A9A43 00000002
+Challenge 96
%Credits: Code Master
$005A9A44 00000002
+Challenge 97
%Credits: Code Master
$005A9A45 00000002
+Challenge 98
%Credits: Code Master
$005A9A46 00000002
+Challenge 99
%Credits: Code Master
$005A9A47 00000002
+Challenge 100
%Credits: Code Master
$005A9A48 00000002
+Challenge 101
%Credits: Code Master
$005A9A49 00000002
+Challenge 102
%Credits: Code Master
$005A9A4A 00000002
+Challenge 103
%Credits: Code Master
$005A9A4B 00000002
+Challenge 104
%Credits: Code Master
$005A9A4C 00000002
+Challenge 105
%Credits: Code Master
$005A9A4D 00000002
+Challenge 106
%Credits: Code Master
$005A9A4E 00000002
+Challenge 107
%Credits: Code Master
$005A9A4F 00000002
+Challenge 108
%Credits: Code Master
$005A9A50 00000002
+Challenge 109
%Credits: Code Master
$005A9A51 00000002
!!
+Mastercode
%Credits: MadCatz
$9026C9D0 0C0A9DB6
+Max Cash After Buying An Item In Paddock
%Credits: Codejunkies
$201B68B4 3C0D05F0
$201B68BC 00000000
+No GP Points Loss When Purchasing Items
%Credits: MadCatz
$201B68B4 01C06823
!Single Player Codes:
+Always Low Race Time
%Credits: Code Master
$2021AC68 AE4000B0
!!
!This Game Requires A Code Breaker PS2 V7.0 Or Higher!:
+Buying Items Doesn't Decrease GP
%Credits: Code Master
$201B68CC 00000000
+Buying Items Increases GP
%Credits: Code Master
$201B68B4 01CF6821
+Infinite Current GP
%Credits: Code Master
$105C7B44 0000FFFF
+Infinite Total GP
%Credits: Code Master
$105C7B48 0000FFFF
+Max Current GP
%Credits: Code Master
$205C7B44 05F5E0FF
+Max Total GP
%Credits: Code Master
$205C7B48 05F5E0FF
+Start On Lap 2
%Credits: Code Master
$200C0220 50A00001
$200C0224 24050001
$200C0228 0807F148
$200C022C ADE50174
$201FCDC8 0C030088
+Start On Lap 3
%Credits: Code Master
$200C0220 50A00001
$200C0224 24050002
$200C0228 0807F148
$200C022C ADE50174
$201FCDC8 0C030088
+Start On Lap 4
%Credits: Code Master
$200C0220 50A00001
$200C0224 24050003
$200C0228 0807F148
$200C022C ADE50174
$201FCDC8 0C030088
+Start On Lap 5
%Credits: Code Master
$200C0220 50A00001
$200C0224 24050004
$200C0228 0807F148
