^3 = NAME: Dynasty Tactics (Pal-Unk)
^2 = GameID: SLES-51267
!Master Codes:
+(M) Must Be On
%Credits: Codejunkies
$F01147B4 001147B7
!!
!Cao Cao:
+Intelligence 100
%Credits: Codejunkies
$0095CDE5 00000064
+Leadership 100
%Credits: Codejunkies
$0095CDE6 00000064
+Massive Troops/Deeds
%Credits: Codejunkies
$2095CDC4 C350C350
+Strength 100
%Credits: Codejunkies
$0095CDE4 00000064
!!
!Cao Ren:
+Intelligence 100
%Credits: Codejunkies
$0095CDA9 00000064
+Leadership 100
%Credits: Codejunkies
$0095CDAA 00000064
+Massive Troops/Deeds
%Credits: Codejunkies
$2095CD88 C350C350
+Strength 100
%Credits: Codejunkies
$0095CDA8 00000064
!!
!Guan Yu:
+Intelligence 100
%Credits: Codejunkies
$0095BA71 00000064
+Leadership 100
%Credits: Codejunkies
$0095BA72 00000064
+Massive Troops/Deeds
%Credits: Codejunkies
$2095BA50 C350C350
+Strength 100
%Credits: Codejunkies
$0095BA70 00000064
!!
!Huang Gai:
+Intelligence 100
%Credits: Codejunkies
$0095C22D 00000064
+Leadership 100
%Credits: Codejunkies
$0095C22E 00000064
+Massive Troops/Deeds
%Credits: Codejunkies
$2095C20C C350C350
+Strength 100
%Credits: Codejunkies
$0095C22C 00000064
!!
!Liu Bei:
+Intelligence 100
%Credits: Codejunkies
$0095E4DD 00000064
+Leadership 100
%Credits: Codejunkies
$0095E4DE 00000064
+Massive Troops/Deeds
%Credits: Codejunkies
$2095E4BC C350C350
+Strength 100
%Credits: Codejunkies
$0095E4DC 00000064
!!
!Sun Ce:
+Intelligence 100
%Credits: Codejunkies
$0095CFC5 00000064
+Leadership 100
%Credits: Codejunkies
$0095CFC6 00000064
+Massive Troops/Deeds
%Credits: Codejunkies
$2095CFA4 C350C350
+Strength 100
%Credits: Codejunkies
$0095CFC4 00000064
!!
!Xu Huang:
+Intelligence 100
%Credits: Codejunkies
$0095CAD9 00000064
+Leadership 100
%Credits: Codejunkies
$0095CADA 00000064
+Massive Troops/Deeds
%Credits: Codejunkies
$2095CAB8 C350C350
+Strength 100
%Credits: Codejunkies
$0095CAD8 00000064
!!
!Zhang Fei:
+Intelligence 100
%Credits: Codejunkies
$0095D4B1 00000064
+Leadership 100
%Credits: Codejunkies
$0095D4B2 00000064
+Massive Troops/Deeds
%Credits: Codejunkies
$2095D490 C350C350
+Strength 100
%Credits: Codejunkies
$0095D4B0 00000064
!!
!Zhou Yu:
+Intelligence 100
%Credits: Codejunkies
$0095C755 00000064
+Leadership 100
%Credits: Codejunkies
$0095C756 00000064
+Massive Troops/Deeds
%Credits: Codejunkies
$2095C734 C350C350
+Strength 100
%Credits: Codejunkies
$0095C754 00000064
!!

