^3 = NAME: Rayman 2 - Revolution (Ntsc-U)
^2 = GameID: SLUS-20138
!Master Codes:
+(M) Must Be On
%Credits: InterAct
$F01417A4 000001FD
+(M) Must Be On
%Credits: Codejunkies
$F01417A4 001417A7
+Enable Code (Must Be On)
%Credits: Code Master
$F0100008 001C8487
!!
+Infinite Air
%Credits: InterAct
$103841A2 00004396
+Infinite Air
%Credits: Code Master
$203841A0 43960000
+Infinite Health
%Credits: Code Master
$201F3544 00000000
+Moon Jump (ASM) {<I>Credits To Hugopocked For Making &Amp; Sending Me This Code</I>}
%Credits: Teh69thSpartan
$20133C84 3C100025
$20133C88 3610237C
$20133C90 AE040000
$2013A1E0 08094D64
$20253590 3C030025
$20253594 3463237C
$20253598 8C660000
$2025359C 00000000
$202535A0 14C4000A
$202535A4 8FA30008
$202535A8 00000000
$202535AC 3C0300FE
$202535B0 34636144
$202535B4 94660000
$202535B8 34034000
$202535BC 14C30003
$202535C0 8FA30008
$202535C4 00000000
$202535C8 3C034120
$202535CC 0804E87A
$202535D0 00000000
!!

