^3 = NAME: Rocky - Legends (Ntsc-U)
^2 = GameID: SLUS-20890
!Master Codes:
+(M) Must Be On
%Credits: Codejunkies
$F01155E4 001155E7
+Enable Code (Must Be On)
%Credits: Code Master
$F0100008 001155E7
+[M] Must Be On
%Credits: MadCatz
$90150D78 0C045530
!!
!Apollo Creed Codes:
+Max Determination
%Credits: Code Master
$2059C334 00000064
+Max Movement
%Credits: Code Master
$2059C33C 00000064
+Max Speed
%Credits: Code Master
$2059C330 00000064
+Max Stamina
%Credits: Code Master
$2059C338 00000064
+Max Strength
%Credits: Code Master
$2059C32C 00000064
!!
!Boxers:
+Alexei Baluk
%Credits: Codejunkies
$2059B4BC 00000001
+Apollo Creed
%Credits: Codejunkies
$2059B38C 00000001
+Big Chuck Smith
%Credits: Codejunkies
$2059B5CC 00000001
+Big Yank Ball
%Credits: Codejunkies
$2059B4EC 00000001
+Billy Snow
%Credits: Codejunkies
$2059B3AC 00000001
+Brendan Doyle
%Credits: Codejunkies
$2059B44C 00000001
+Burt Judge
%Credits: Codejunkies
$2059B47C 00000001
+Carlos Arguello
%Credits: Codejunkies
$2059B3EC 00000001
+Clubber Lang
%Credits: Codejunkies
$2059B3FC 00000001
+Dipper Brown
%Credits: Codejunkies
$2059B46C 00000001
+Ernie Roman
%Credits: Codejunkies
$2059B39C 00000001
+Floyd Mccallum
%Credits: Codejunkies
$2059B3CC 00000001
+George Fullmer
%Credits: Codejunkies
$2059B49C 00000001
+Ivan Drago
%Credits: Codejunkies
$2059B40C 00000001
+Jack Jarrell
%Credits: Codejunkies
$2059B48C 00000001
+Joe Czak
%Credits: Codejunkies
$2059B62C 00000001
+Joe Zole
%Credits: Codejunkies
$2059B41C 00000001
+John Barkley
%Credits: Codejunkies
$2059B43C 00000001
+Jose Mendoza
%Credits: Codejunkies
$2059B3DC 00000001
+Ken Klaassen
%Credits: Codejunkies
$2059B4DC 00000001
+Kofi Longton
%Credits: Codejunkies
$2059B58C 00000001
+Marco Chavez
%Credits: Codejunkies
$2059B57C 00000001
+Maurizio Medina
%Credits: Codejunkies
$2059B59C 00000001
+Mickey Goldmill
%Credits: Codejunkies
$2059B60C 00000001
+Paulie Klein
%Credits: Codejunkies
$2059B56C 00000001
+Salvador Martinez
%Credits: Codejunkies
$2059B4AC 00000001
+Sam Monroe
%Credits: Codejunkies
$2059B61C 00000001
+Sergei Izhora
%Credits: Codejunkies
$2059B5FC 00000001
+Spider Rico
%Credits: Codejunkies
$2059B5BC 00000001
+Tommy Gunn
%Credits: Codejunkies
$2059B54C 00000001
+Tony Duke
%Credits: Codejunkies
$2059B45C 00000001
+Troy Miller
%Credits: Codejunkies
$2059B4FC 00000001
+Union Cane
%Credits: Codejunkies
$2059B5AC 00000001
+Virgil Abrams
%Credits: Codejunkies
$2059B52C 00000001
+Wolfgang Peltzer
%Credits: Codejunkies
$2059B4CC 00000001
+Yuri Denisov
%Credits: Codejunkies
$2059B3BC 00000001
!!
!Clubber Lang Codes:
+Max Determination
%Credits: Code Master
$2059C360 00000064
+Max Movement
%Credits: Code Master
$2059C368 00000064
+Max Speed
%Credits: Code Master
$2059C35C 00000064
+Max Stamina
%Credits: Code Master
$2059C364 00000064
+Max Strength
%Credits: Code Master
$2059C358 00000064
!!
+Infinite Cash
%Credits: MadCatz
$2059BFE4 3B9AC9FF
+Infinite Round Time
%Credits: BigBossman
$20DFE794 4334512A
