^2 = GameID: BLUS31396
^3 = NAME: Deception IV
^5 = APCRED: chaoszage
^4 = FILE: DATA.BIN
+Fulfill All Daemon Requests(fulfill 1 Request To Obtain "workaholic" And "reliable Worker" Trophies-)
$42000768 01010101
$40260004 00000000
+Ability All Max
$42000024 FFC99A3B
$40030004 00000000
+Max Exp
$20000024 3F420F00
$20000028 3F420F00
$2000002C 3F420F00
+Max Money
$20000020 3F420F00
+All Missions Clear
$20001B7A FFFFFFFF
$20001B7E FFFFFFFF
$20001B82 FFFFFFFF
$00001B86 0000000F
+699999 Warl
$20000020 5FAE0A00
+700000 Warl
$200005FC AE600B00
